3729603.729604	148555.299710
23564064.801178	1186591.515871
42838018.741633	2399160.293897
91428571.428571	2931208.207383
2956802.956803	2620266.120778
26964398.567516	4284949.116229
88627315.215510	18281143.999714
120897284.533648	31794330.425063
52366462.962489	14516.829482
129052585.147610	42786558.168200
292602778.869165	92287587.589843
54026426.256105	95465060.044400
513347537.285374	102514367.591344
544929946.368436	109616169.455465
822164932.287060	115340582.598771
904328387.557481	104186265.380395
1325090607.639854	185560099.595284
1999549967.010293	167103239.049953
1968044354.271107	185498877.976767
2160064972.352245	186813715.907576
1980247588.548162	192912767.986271
1976491865.763330	205426792.451499
2035134333.876611	212831223.365637
2429012667.636744	216469244.728375
2315316774.921317	217527576.118506
